Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Switzerland,27.77,27.19,26.86,26.62,26.57,27.51,28.14,27.89,29.53,31.32,31.44,29.87,29.41,29.68,31.22,30.15,32.24,35.18,33.67,33.9,35.26,36.13,34.94,34.89,36.56,37.94,36.04,35.26,35.99,37.49,35.67,34.62,35.33,35.8,35.52,35.22,35.83,39.18,39.69,41.23,45.43,44.65,43.27,42.91,45.05,47.58,50.82,54.37,54.27,50.37,51.75,51.25,52.3
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,13.47,12.04,11.92,12.26,12.61,13.61,14.81,14.27,13.98,16.46,14.61,11.03,9.82,13.65,20.38,25.44,25.12,20.62,20.58,23.28,22.82,16.42,19.37,24.01,24.23,28.15,29.09,30.13,34.25,35.39,33.99,32.4,29.81,26.62,28.24,29.3,27.28,27.08,26.3,29.6,29.29,30.87,31.54,33.92,37.86,38.38,42.43,43.83,41.51,37.17,38.06,37.99,34.21
China,,,,,,,,,,,2.61,2.76,3.18,4.33,4.98,4.59,4.81,4.69,6.6,8.52,10.65,12.58,11.67,10.19,10.41,9.21,10,14.49,14.83,13.9,16.07,17.37,18.65,19.65,21.27,20.23,20.05,21.75,20.35,20.17,23.33,22.6,25.13,29.56,33.95,37.08,39.13,38.41,34.98,26.71,29.4,28.54,27.33
Cote d'Ivoire,34.24,35.29,34.39,33.94,35.89,36.82,36.41,36.22,40.7,36.76,35.77,32.21,33.51,35.75,45.7,36.73,41.74,42.63,36.52,34.6,35,35.18,36.42,36.96,45.31,46.77,39.5,33.43,30.49,32.03,31.69,30.01,31.91,29.44,40.53,41.76,41.1,41.42,39.41,40.35,40.43,41.84,50.03,45.84,48.56,51.05,52.65,47.82,46.51,,,,
Latin America and the Caribbean (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,,,,,,23.76,20.99,20.63,22.12,23.38,26.21,23.02,20.39,20.69,25.44,22.68,22.64,25.06,23.66,21.08,27.88,21.87,33.21,30.4,33.48,33.45,23.28,16.69,16.03,20.71,20.18,20,20.55,16.18,21.12,23.58,23.38,21.43,21.43,21.5,29.17,27.5,25,23.96,22.71,24.47,29.3,31.02,31.07,23.54,25.49,29.49,29.16
"Congo, Rep.",20.45,19.46,30.49,36.47,38.15,36.01,29.89,30.48,30.39,32.08,34.74,32.58,28.31,31.62,53.23,35.89,40.38,45.58,43.72,47.41,60.02,58.02,55.27,57.95,61.63,56.79,39.83,41.73,40.62,48.52,51.77,41.63,40.69,42.84,58.52,64.7,68.46,75.6,76.28,72.29,80.3,77.42,81.52,80.81,80.53,84.16,84.16,78.53,75.15,70.42,85.12,87.28,
Colombia,15.66,12.96,12.19,11.98,11.92,11.42,12.11,11.98,12.98,13.23,14.31,12.83,14.24,15.22,14.58,15.8,17.1,16.9,16.6,15.23,16.21,11.85,10.93,10.44,11.88,13.81,18.84,16.95,16.29,18,20.57,21.34,17.71,16.43,15,14.53,15.2,14.84,15.01,18.35,15.92,15.39,14.82,16.58,16.77,16.85,17.64,16.54,17.79,16.03,15.94,18.93,18.27
